2023.05.10 12:20:23 INFO  web[][o.s.p.ProcessEntryPoint] Starting Web Server
2023.05.10 12:20:25 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 10.0.0.68432 / 75dae6a655f49ac78b0a786f6c19b15085561af9
2023.05.10 12:20:26 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar;NON_KEYWORDS=VALUE
2023.05.10 12:20:26 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: D:\Users\loant\S4\TD\Eco-conception Web\sonarqube-10.0.0.68432\data
2023.05.10 12:20:26 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar;NON_KEYWORDS=VALUE
2023.05.10 12:20:26 INFO  web[][c.z.h.HikariDataSource] HikariPool-1 - Starting...
2023.05.10 12:20:26 INFO  web[][c.z.h.p.HikariPool] HikariPool-1 - Added connection conn2: url=jdbc:h2:tcp://127.0.0.1:9092/sonar user=
2023.05.10 12:20:26 INFO  web[][c.z.h.HikariDataSource] HikariPool-1 - Start completed.
2023.05.10 12:20:26 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2023.05.10 12:20:28 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: D:\Users\loant\S4\TD\Eco-conception Web\sonarqube-10.0.0.68432
2023.05.10 12:20:28 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2023.05.10 12:20:29 INFO  web[][o.s.s.p.ServerPluginManager] Deploy C# Code Quality and Security / 8.55.0.65544 / 4605cba422c91e5cceed45acd828ed3a59de9c4f
2023.05.10 12:20:29 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Configuration detection fot Code Quality and Security / 1.2.0.267 / 4f37ba9ffb37a96d5883e52ad392ed32c5c6eaab
2023.05.10 12:20:29 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Flex Code Quality and Security / 2.8.0.3166 / 01f66bdddc678966c81a9064ed139156a6a89c97
2023.05.10 12:20:29 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Go Code Quality and Security / 1.12.0.4259 / 06ef2d2a9be88686d62673ee8b01b2e15df73f29
2023.05.10 12:20:29 INFO  web[][o.s.s.p.ServerPluginManager] Deploy HTML Code Quality and Security / 3.7.1.3306 / d720acc6860c6d8b69ec4d17570a398a1e216da1
2023.05.10 12:20:29 INFO  web[][o.s.s.p.ServerPluginManager] Deploy IaC Code Quality and Security / 1.15.0.3752 / 74263d696caa730771bab5bb9e91281aa8cf056e
